,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.38,0.53,0.66,0.45,0.41
intact.csv,0.41,0.57,0.9,0.56,0.38
miranda-icq.csv,0.56,0.64,0.54,0.8,0.44
ofbiz.csv,0.5,0.43,0.4,0.56,0.45
roolo.csv,0.56,0.43,0.49,0.82,0.48
