,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.99,0.42,0.37,0.4,0.67
intact.csv,0.92,0.43,0.2,0.28,0.72
miranda-icq.csv,0.95,0.31,0.42,0.47,0.69
ofbiz.csv,0.87,0.25,0.26,0.38,0.8
roolo.csv,0.88,0.28,0.3,0.64,0.67
