,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.63,0.31,0.63,0.99,0.14,0.62
jahshaka.csv,0.4,0.95,0.23,0.36,0.09,0.36
jam-daq.csv,0.39,0.3,0.33,0.78,0.09,0.98
jatlas.csv,0.36,0.0,0.0,0.23,1.0,0.25
jedit.csv,0.97,0.4,0.52,0.81,0.16,0.6
open-media-library.csv,0.6,0.22,0.98,0.8,0.17,0.65
