,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.75,0.93,0.42,0.72,0.86,0.69,0.9,0.93,0.62,0.24,0.59,0.4,0.84,0.43,0.61,0.01
chipster.csv,1.0,0.95,0.55,0.86,0.62,0.66,0.96,0.92,0.65,0.16,0.55,0.57,0.88,0.5,0.74,0.01
delphilhlplib.csv,0.7,0.85,0.4,0.89,0.62,0.67,1.0,0.91,0.77,0.39,0.58,0.52,0.8,0.42,0.75,0.0
emite.csv,0.83,0.85,0.41,0.73,0.64,0.6,0.92,0.9,0.55,0.17,0.59,0.65,0.78,0.28,0.72,0.0
hydrate.csv,0.54,0.93,0.44,0.71,0.59,0.66,0.88,0.85,0.54,0.0,0.78,0.45,0.74,0.62,0.72,0.0
ivataopenportal.csv,0.35,0.86,0.4,0.78,0.72,0.66,0.91,0.88,0.56,0.27,0.62,0.45,0.82,0.36,0.65,0.01
jppf-project.csv,0.43,0.85,0.4,0.88,0.47,0.65,0.99,0.87,0.66,0.16,0.58,0.5,0.72,0.36,0.64,0.01
kolmafia.csv,0.36,0.87,0.49,0.86,0.52,0.64,0.93,0.89,0.77,0.24,0.65,0.49,0.79,0.36,0.71,0.01
l2j.csv,0.38,0.86,0.43,0.75,0.63,0.62,0.89,0.87,0.64,0.23,0.57,0.47,0.85,0.34,0.8,0.0
mb-unit.csv,0.37,0.89,0.49,0.72,0.53,0.66,0.93,0.9,0.56,0.15,0.68,0.36,0.72,0.42,0.62,0.01
opde.csv,0.67,0.85,0.46,0.75,0.6,0.63,0.91,0.89,0.6,0.22,0.71,0.52,0.71,0.38,0.67,0.0
pamguard.csv,0.32,0.92,0.43,0.76,0.6,0.79,0.94,0.89,0.81,0.18,0.54,0.48,0.76,0.29,0.62,0.0
quark.csv,0.5,0.79,0.46,0.83,0.57,1.0,0.0,0.89,1.0,0.46,1.0,0.33,0.85,0.43,1.0,0.0
stajistics.csv,0.37,0.91,0.49,0.75,0.58,0.63,0.92,0.9,0.55,0.13,0.73,0.69,0.74,0.56,0.66,0.01
tigermud.csv,0.34,0.84,0.42,0.92,0.53,0.59,1.0,0.93,0.67,0.14,0.76,0.44,0.68,0.33,0.66,0.02
