,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.15,0.36,0.27,0.51,0.06,0.57,0.47,0.71,0.36,0.35,0.4,0.22,0.1,0.37,0.44,0.41
chipster.csv,0.05,0.29,0.64,0.41,0.41,0.58,0.58,0.48,0.68,0.27,0.34,0.16,0.21,0.24,0.72,0.62
delphilhlplib.csv,0.33,0.41,0.28,0.76,0.09,0.41,0.16,0.36,0.25,0.58,0.23,0.51,0.21,0.37,0.49,0.0
emite.csv,0.24,0.41,0.46,0.0,0.1,0.06,0.52,0.41,0.39,0.48,0.33,0.71,0.24,0.2,0.43,0.0
hydrate.csv,0.32,0.23,0.54,0.43,0.45,0.53,0.0,0.38,0.34,0.0,0.24,0.19,0.43,0.57,0.63,0.0
ivataopenportal.csv,0.49,0.49,0.09,0.61,0.74,0.33,0.38,0.44,0.45,0.69,0.54,0.56,0.37,0.63,0.58,0.13
jppf-project.csv,0.65,0.32,0.54,0.45,0.41,0.56,0.78,0.53,0.64,0.43,0.32,0.64,0.45,0.59,0.46,0.61
kolmafia.csv,0.09,0.54,0.67,0.41,0.27,0.24,0.58,0.55,0.71,0.54,0.36,0.62,0.62,0.66,0.68,0.24
l2j.csv,0.56,0.57,0.54,0.0,0.13,0.43,0.44,0.46,0.62,0.47,0.27,0.6,0.75,0.61,0.28,0.0
mb-unit.csv,0.51,0.65,0.69,0.0,0.42,0.5,0.59,0.64,0.21,0.34,0.51,0.19,0.55,0.69,0.2,0.0
opde.csv,0.67,0.52,0.64,0.24,0.52,0.36,0.52,0.56,0.62,0.59,0.47,0.48,0.46,0.68,0.55,0.0
pamguard.csv,0.35,0.37,0.49,0.38,0.39,0.69,0.4,0.57,0.52,0.17,0.36,0.43,0.24,0.34,0.28,0.0
quark.csv,0.1,0.1,0.11,0.11,0.09,0.04,0.0,0.04,0.02,0.83,0.13,0.07,0.13,0.24,0.04,0.0
stajistics.csv,0.57,0.51,0.67,0.0,0.5,0.43,0.38,0.62,0.13,0.34,0.49,0.34,0.5,0.73,0.38,0.09
tigermud.csv,0.5,0.49,0.47,0.25,0.51,0.35,0.19,0.25,0.64,0.34,0.74,0.0,0.16,0.59,0.54,0.78
