,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.25,0.3,0.24,0.25,0.31,0.21,0.09
aime.csv,0.71,0.95,0.54,0.01,0.34,0.26,0.13
badtrinitycore.csv,0.04,0.05,0.29,0.23,0.24,0.21,0.17
electric-core.csv,0.67,0.5,0.24,0.39,0.79,0.42,0.67
geochat.csv,0.5,0.95,0.71,0.54,0.1,0.6,0.3
olsrd.csv,0.71,0.25,0.52,0.43,0.51,0.39,0.64
uwom.csv,0.25,0.0,0.4,0.26,0.72,0.29,0.86
