,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,uwom.csv,geochat.csv
adaptagrams.csv,0.88,0.75,0.59,0.55,0.57,0.6,0.1
aime.csv,0.73,1.0,0.28,0.0,0.71,0.08,0.2
badtrinitycore.csv,0.0,0.0,0.53,0.87,0.36,0.55,0.23
electric-core.csv,0.88,0.81,0.61,0.68,0.86,0.81,0.63
geochat.csv,0.69,1.0,0.43,0.21,0.14,0.16,0.6
olsrd.csv,1.0,0.75,0.74,0.74,0.5,0.66,0.87
uwom.csv,0.15,0.0,0.67,0.7,0.79,0.88,0.8
