,recall,precision,pf,cdom,bellwether
1,0.24,0.5,0.26,6.0,forester-atv.csv
9,0.8300000000000001,0.8300000000000001,0.49,1.0,columba.csv
12,0.78,0.535,0.42,8.0,rsyslog.csv
25,0.49,0.36,0.235,3.0,geogebra.csv
30,0.535,0.41,0.29,17.0,dynalloy.csv
49,0.825,0.33,0.25,19.0,unicase.csv
22,0.98,0.975,0.8,1.0,magicwars.csv
23,0.53,0.665,0.45,3.0,turbotrader-bos.csv
24,0.96,0.98,0.96,0.0,xmemcached.csv
