,id,count_recall,count_precision,count_pf,cdom_score,bellwether
56,2,1,1,2,1,logicmail.csv
53,3,1,2,7,6,jam-daq.csv
51,4,1,8,18,17,jbasic.csv
58,5,1,4,5,5,nunit.csv
25,6,1,9,19,18,forester-atv.csv
20,7,1,4,9,8,piccolo2d.csv
31,8,1,3,13,12,jgossipforum.csv
28,10,1,1,1,0,atunes.csv
19,11,2,1,3,3,columba.csv
57,13,2,1,2,2,empyrean.csv
59,14,2,7,16,18,unflobtactical.csv
52,15,1,7,13,13,metacosm.csv
22,16,1,6,7,8,lufa-lib.csv
27,17,1,8,20,19,gnupdate.csv
17,18,1,1,2,2,qpe.csv
29,19,1,4,10,9,amateur-scrolls.csv
16,20,1,2,6,4,foursquared.csv
32,21,1,3,9,8,rsyslog.csv
30,26,2,2,5,6,h2database.csv
18,27,1,5,11,10,lamp.csv
26,28,1,8,14,13,runuomondains.csv
21,29,5,10,12,16,geogebra.csv
37,31,1,7,11,10,gbif-providertoolkit.csv
6,32,4,6,6,9,m-a-d-n-e-s-s.csv
15,33,1,9,19,19,nicepress.csv
14,34,2,9,13,16,customwars.csv
7,35,2,10,18,17,netatalk.csv
36,36,2,5,5,6,xstore.csv
42,37,1,8,16,15,owfs.csv
35,38,1,2,7,6,rtb-team.csv
43,39,1,6,12,11,rocrail.csv
54,40,1,3,4,5,badtrinitycore.csv
49,41,3,10,14,16,fltk.csv
23,42,1,4,8,7,projecteqemu.csv
34,43,1,1,5,4,webdriver.csv
33,44,1,2,5,4,tolven.csv
24,45,1,1,5,6,fceugc.csv
48,46,4,5,6,11,dynalloy.csv
55,47,1,9,15,14,alpine.csv
50,48,2,4,6,6,google-web-toolkit.csv
3,50,1,5,11,9,crisscross.csv
10,51,2,5,14,14,fontforge.csv
44,52,1,2,2,2,pdfedit.csv
41,53,3,2,10,10,wgs-assembler.csv
40,54,1,2,5,7,vxl.csv
45,55,1,9,18,17,wxcode.csv
9,56,1,6,13,13,ibatisdb.csv
5,57,1,1,2,1,papertoolkit.csv
11,58,1,2,4,3,maidsafe-dht.csv
1,59,2,5,8,11,fulguro.csv
13,60,1,2,5,5,mvnforum.csv
0,61,1,7,8,9,alembik.csv
39,62,2,1,1,1,silvertree.csv
46,63,1,1,1,0,jrdf.csv
47,64,7,7,4,11,unicase.csv
38,65,1,7,17,16,bulmages.csv
2,66,1,2,9,9,liferea.csv
12,67,8,9,4,15,l2j.csv
4,68,1,4,8,10,pfaedit.csv
8,69,1,2,9,8,continuum-ide.csv
