,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.46,0.98,1.01,0.87,0.84,0.89,0.74,0.64
apolloplayer.csv,0.77,0.4,0.61,0.95,0.76,0.66,0.56,0.56
k3d.csv,0.81,0.83,0.02,0.73,0.93,0.29,0.88,0.68
redshell.csv,0.77,0.72,1.27,0.96,0.43,0.81,0.73,0.92
rtb-team.csv,0.95,0.6,1.04,0.24,0.92,0.93,0.81,0.24
xreal.csv,0.93,0.95,1.0,0.67,0.78,0.79,1.0,0.02
xstore.csv,0.63,0.57,0.61,0.89,0.84,0.48,0.44,1.06
