,qtractor.csv,quarkplayer.csv,open-data-kit.csv,zoolib.csv,google-web-toolkit.csv,fmri-dmt.csv
fmri-dmt.csv,0.62,0.59,0.62,0.68,0.74,0.79
google-web-toolkit.csv,0.46,0.74,0.59,0.81,0.5,0.43
open-data-kit.csv,0.39,0.4,0.47,0.57,0.48,0.56
qtractor.csv,0.46,0.43,0.46,0.77,0.45,0.48
quarkplayer.csv,0.85,0.9,0.85,0.98,0.98,0.61
zoolib.csv,0.53,0.63,0.67,0.97,0.69,0.89
