,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0
fityk.csv,0.12,0.27,0.46,0.25,0.43,0.13,0.13,0.0,0.41,0.36
freenet.csv,0.46,0.29,0.01,0.5,0.8,0.48,0.3,0.77,0.34,0.45
geogebra.csv,0.12,0.8,0.75,0.12,0.9,0.84,0.05,0.14,0.78,0.0
hibernate.csv,0.12,0.39,0.16,0.21,0.4,0.36,0.16,0.14,0.0,0.51
itext.csv,0.63,0.27,0.61,0.5,0.0,0.5,0.24,0.64,0.36,0.4
k3b.csv,0.58,0.33,0.51,0.0,0.4,0.18,0.39,0.5,0.25,0.44
lamp.csv,0.01,0.1,0.11,0.08,0.07,0.18,0.09,0.05,0.08,0.08
megameknet.csv,0.67,0.24,0.26,0.58,0.73,0.36,0.0,0.09,0.25,0.48
thout.csv,0.51,0.0,0.89,0.58,0.77,0.61,0.28,0.55,0.72,0.54
