,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.93,1.0,0.98,1.0,1.0,0.0,1.0,1.0,0.97,1.0
fityk.csv,0.79,0.8,0.6,0.61,0.6,1.01,0.76,0.07,0.75,0.68
freenet.csv,0.58,0.72,0.01,0.65,0.87,0.69,0.54,0.79,0.63,0.71
geogebra.csv,0.86,0.86,0.79,0.82,0.9,0.98,0.61,0.9,0.83,0.07
hibernate.csv,0.79,0.62,0.67,0.9,0.62,0.44,0.64,0.94,0.07,0.67
itext.csv,0.63,0.49,0.68,0.6,0.0,0.56,0.41,0.7,0.59,0.47
k3b.csv,0.65,0.49,0.61,0.02,0.48,1.02,0.47,0.61,0.62,0.49
lamp.csv,0.07,0.89,0.74,0.66,0.53,1.02,0.62,0.75,0.85,0.73
megameknet.csv,0.8,0.58,0.57,0.77,0.75,0.83,0.09,0.94,0.62,0.59
thout.csv,0.72,0.11,0.91,0.76,0.79,0.79,0.59,0.66,0.79,0.69
