,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.09,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.04,0.0
fityk.csv,0.25,0.29,0.6,0.49,0.59,0.0,0.29,0.94,0.41,0.45
freenet.csv,0.62,0.38,0.99,0.57,0.45,0.5,0.57,0.54,0.5,0.47
geogebra.csv,0.17,0.46,0.54,0.23,0.35,0.35,0.44,0.13,0.49,0.94
hibernate.csv,0.25,0.54,0.4,0.14,0.54,0.73,0.43,0.09,0.94,0.55
itext.csv,0.71,0.61,0.59,0.63,1.0,0.68,0.69,0.59,0.55,0.71
k3b.csv,0.62,0.65,0.62,0.98,0.71,0.0,0.71,0.62,0.47,0.72
lamp.csv,0.94,0.13,0.31,0.39,0.52,0.0,0.44,0.29,0.19,0.31
megameknet.csv,0.5,0.52,0.53,0.48,0.59,0.28,0.93,0.09,0.47,0.63
thout.csv,0.5,0.91,0.35,0.5,0.53,0.47,0.51,0.59,0.52,0.55
