,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.07,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.03,0.0
fityk.csv,0.21,0.25,0.62,0.45,0.59,0.0,0.25,0.93,0.38,0.42
freenet.csv,0.64,0.34,0.99,0.59,0.65,0.5,0.55,0.82,0.47,0.45
geogebra.csv,0.14,0.68,0.76,0.19,0.94,0.5,0.39,0.11,0.71,0.93
hibernate.csv,0.21,0.52,0.35,0.12,0.53,0.75,0.38,0.07,0.93,0.57
itext.csv,0.93,0.59,0.68,0.67,1.0,0.75,0.67,0.7,0.53,0.74
k3b.csv,0.71,0.64,0.66,0.98,0.74,0.0,0.74,0.66,0.43,0.77
lamp.csv,0.93,0.11,0.27,0.34,0.47,0.0,0.39,0.25,0.16,0.27
megameknet.csv,0.57,0.48,0.49,0.5,0.85,0.25,0.91,0.07,0.43,0.66
thout.csv,0.5,0.89,0.78,0.52,0.79,0.5,0.48,0.64,0.66,0.58
