,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.67,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.92,0.0
fityk.csv,0.94,0.82,0.44,0.59,0.45,0.92,0.83,0.44,0.67,0.55
freenet.csv,0.56,0.75,0.43,0.57,0.5,0.57,0.61,0.4,0.6,0.64
geogebra.csv,0.94,0.59,0.41,0.93,0.44,0.38,0.79,0.88,0.55,0.77
hibernate.csv,0.94,0.59,0.59,0.92,0.63,0.57,0.78,0.83,0.74,0.62
itext.csv,0.35,0.43,0.3,0.45,0.44,0.38,0.42,0.38,0.39,0.41
k3b.csv,0.38,0.48,0.37,0.44,0.35,0.84,0.42,0.35,0.52,0.4
lamp.csv,0.93,0.95,0.71,0.68,0.44,0.95,0.65,0.75,0.98,0.98
megameknet.csv,0.48,0.49,0.5,0.67,0.49,0.63,0.7,0.8,0.71,0.56
thout.csv,0.71,0.77,0.41,0.68,0.5,0.46,0.65,0.53,0.55,0.58
