,f1,g,recall,precision,pf,wins
bwapi.csv,0.45,0.24,0.89,0.33,0.94,2
co-ode-owl-plugins.csv,0.54,0.6,0.67,0.47,0.54,16
exl.csv,0.38,0.52,0.52,0.28,0.44,5
firebreath.csv,0.41,0.62,0.62,0.48,0.4,15
irplus.csv,0.42,0.49,0.46,0.46,0.32,9
jasperreports.csv,0.34,0.41,0.49,0.28,0.6,0
javaprofiler.csv,0.47,0.58,0.87,0.45,0.68,14
konversation.csv,0.39,0.54,0.5,0.37,0.27,10
lazarus-ccr.csv,0.44,0.45,0.53,0.34,0.62,4
linuxsh.csv,0.34,0.28,0.29,0.45,0.23,3
migen.csv,0.36,0.47,0.44,0.38,0.25,7
moviesandbox.csv,0.43,0.57,0.65,0.43,0.47,13
mvnforum.csv,0.36,0.39,0.35,0.57,0.29,6
nebuladevice.csv,0.37,0.38,0.39,0.27,0.47,1
ontomorphtab.csv,0.36,0.58,0.82,0.38,0.59,11
opengs.csv,0.36,0.46,0.43,0.48,0.25,8
scite-ru.csv,0.49,0.57,0.89,0.4,0.74,12
tokratan.csv,0.35,0.54,0.54,0.5,0.19,17
xuggle.csv,0.5,0.62,0.71,0.42,0.45,18
