,sabbu.csv,vxl.csv,kdenlive.csv,zact.csv,optalgtoolkit.csv,tokratan.csv,boost-sandbox.csv,foursquared.csv,jasperreports.csv
boost-sandbox.csv,0.56,0.69,0.7,0.65,0.71,0.49,0.52,0.74,0.46
foursquared.csv,0.95,0.97,0.73,1.0,0.95,0.76,0.95,0.21,0.82
jasperreports.csv,0.74,0.86,0.91,1.0,0.8,0.81,0.61,0.77,0.13
kdenlive.csv,0.49,0.73,0.39,0.9,0.97,0.53,0.82,0.59,0.84
optalgtoolkit.csv,0.65,0.63,0.64,0.77,0.35,0.77,0.87,0.72,0.66
sabbu.csv,0.37,0.69,0.54,0.64,0.81,0.64,0.61,0.85,0.75
tokratan.csv,0.48,0.71,0.6,0.8,0.86,0.41,0.79,0.88,0.76
vxl.csv,0.51,0.62,0.53,0.84,0.78,0.44,0.8,0.39,0.63
zact.csv,0.72,1.0,0.77,0.3,1.0,1.04,0.83,0.76,1.0
