,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.45,0.46,0.41,0.46,0.69
encog-java.csv,0.97,0.95,0.49,0.93,0.68
h2database.csv,0.42,0.98,0.94,0.95,0.89
jaql.csv,0.43,0.5,0.44,0.58,0.62
raven-monitoring.csv,0.73,0.68,0.63,0.77,0.9
