,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.23,0.0,0.38,0.24,0.55,0.22,0.37,0.98,0.62,0.26,0.44,0.28,0.55,0.61
avifile.csv,1.0,0.11,0.06,0.0,0.0,0.02,0.28,0.04,0.0,0.11,0.17,0.31,0.18,0.0
delphilhlplib.csv,0.59,0.56,0.39,0.68,1.0,0.54,0.36,0.57,0.67,0.61,0.37,0.51,0.26,0.64
fluidium.csv,0.6,0.4,0.19,0.27,0.28,0.53,0.96,0.21,0.51,0.21,0.59,0.11,0.13,0.41
gnome-jabber.csv,0.35,0.38,0.27,0.17,0.38,0.13,0.41,0.32,0.66,0.13,0.7,0.77,0.37,0.24
ipfilter.csv,0.61,0.47,0.0,0.05,0.65,0.07,0.5,0.23,0.34,0.56,0.26,0.0,0.98,0.72
jparsec.csv,0.51,0.3,0.45,0.17,0.49,0.55,0.57,0.64,0.44,0.97,0.41,0.0,0.2,0.43
loki-lib.csv,0.23,0.56,0.56,0.71,0.37,0.71,0.63,0.7,0.66,0.56,1.0,0.33,0.4,0.56
mumble.csv,0.0,0.4,0.42,0.47,0.23,0.32,0.12,0.16,0.97,0.09,0.12,0.18,0.48,0.13
opengs.csv,0.23,0.31,0.47,0.38,0.3,1.0,0.42,0.36,0.45,0.31,0.2,0.16,0.4,0.3
owfs.csv,0.0,1.0,0.39,0.04,0.1,0.09,0.06,0.19,0.19,0.28,0.17,0.15,0.13,0.13
rectracker.csv,0.57,0.17,1.0,0.39,0.55,0.42,0.57,0.53,0.41,0.32,0.0,0.52,0.19,0.24
rockbox.csv,0.23,0.64,0.51,0.48,0.55,0.41,0.42,0.33,0.65,0.56,0.42,0.47,0.61,0.99
zealos.csv,0.58,0.52,0.54,1.0,0.24,0.51,0.54,0.38,0.51,0.37,0.4,0.48,0.57,0.55
