,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.63,0.72,0.75,0.49,0.49,0.58,0.66,0.68,0.55,0.6,0.98,0.73,0.57,0.52,0.58,0.74,0.67
emeraldemu.csv,0.6,0.62,0.57,0.25,0.43,0.54,0.61,0.96,0.47,0.26,0.54,0.38,0.65,0.49,0.46,0.62,0.76
grafx2.csv,0.55,0.69,0.75,0.61,0.32,0.27,0.51,0.61,0.47,0.43,0.45,0.45,0.47,0.94,0.58,0.79,0.54
jahshakafx.csv,0.98,0.44,0.18,0.1,0.22,0.24,0.31,0.36,0.3,0.19,0.4,0.05,0.25,0.3,0.26,0.18,0.55
kindb.csv,0.81,0.74,0.71,0.72,0.52,0.56,0.67,0.72,0.64,0.6,0.68,0.69,0.72,0.52,0.67,0.99,0.83
maya-work-in-progress.csv,0.65,0.51,0.76,0.33,0.59,0.44,0.59,0.54,0.55,0.93,0.55,0.26,0.47,0.3,0.64,0.49,0.62
novembre.csv,0.54,0.74,0.47,0.54,0.24,0.11,0.72,0.47,0.17,0.07,0.37,0.13,0.31,0.49,0.44,0.28,0.29
ns-3.csv,0.72,0.56,0.7,0.65,0.44,1.0,0.54,0.68,0.54,0.53,0.64,0.44,0.65,0.0,0.54,0.51,0.52
nullc.csv,0.57,0.51,0.35,0.21,1.0,0.39,0.4,0.5,0.49,0.46,0.54,0.32,0.17,0.35,0.24,0.38,0.53
open-beos.csv,0.65,0.65,0.61,0.69,0.41,0.45,0.56,0.65,0.98,0.36,0.58,0.56,0.56,0.41,0.38,0.55,0.75
pixel-commandos.csv,0.17,0.09,0.22,0.0,0.07,0.01,0.09,0.11,0.01,0.0,0.0,0.0,0.04,0.0,0.2,0.0,1.0
planeshift.csv,0.8,0.72,0.53,0.55,0.52,0.53,0.5,0.67,0.63,0.4,0.45,0.71,0.98,0.72,0.57,0.63,0.52
plee-the-bear.csv,0.13,0.23,0.85,0.05,0.46,0.45,0.15,0.11,0.4,0.26,0.38,0.34,0.48,0.45,0.32,0.55,0.0
reaper-ecad.csv,0.36,0.31,0.59,0.9,0.26,0.48,0.38,0.5,0.3,0.45,0.42,0.09,0.48,0.35,0.48,0.27,0.0
sbml.csv,0.71,0.7,0.67,0.48,0.43,0.59,0.57,0.67,0.66,0.6,0.37,0.72,0.62,0.62,0.98,0.74,0.68
unimrcp.csv,0.6,0.4,0.44,0.29,0.37,0.16,0.52,0.45,0.25,0.15,0.33,0.94,0.36,0.38,0.09,0.49,0.29
unladen-swallow.csv,0.24,0.72,0.07,0.05,0.32,0.43,0.36,0.16,0.14,0.14,0.49,0.39,0.45,0.47,0.45,0.45,0.0
