,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.74,0.88,0.73,0.47,0.85,0.9,0.96,0.98,0.88,0.84
flylegacy.csv,0.76,0.6,0.46,0.64,0.71,0.89,0.82,0.75,0.8,0.71
jguard.csv,0.73,0.63,0.74,0.74,0.78,0.48,0.9,0.53,0.92,0.76
m-a-d-n-e-s-s.csv,0.81,0.97,0.77,0.78,0.97,0.97,1.0,0.87,0.3,0.88
mob-sen-plat.csv,0.84,0.21,0.87,0.81,0.75,0.81,0.68,0.54,0.63,0.62
raygina.csv,0.39,1.0,0.73,0.73,0.83,0.78,0.75,0.72,0.75,0.66
st-filteredstatistics.csv,0.91,0.58,0.87,0.76,0.71,0.66,0.97,0.28,0.69,0.82
upp-mirror.csv,0.74,0.94,0.62,0.71,0.55,0.85,0.83,0.68,0.52,0.7
wishmaster.csv,0.82,0.82,0.77,0.74,0.63,0.85,0.33,0.91,0.51,0.64
yarp.csv,0.62,1.0,0.69,0.79,0.95,0.87,0.74,0.75,0.67,0.54
