,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.5,0.69,0.55,0.68,0.8,0.17,0.51,0.67,0.52,0.18,0.67,0.72,0.5,0.67,0.93,0.56
betoffice.csv,0.52,0.74,0.4,0.95,0.78,0.74,0.83,0.64,0.25,0.9,0.72,0.84,0.62,0.6,0.77,0.76
bionote.csv,0.43,0.74,0.3,0.27,0.2,0.04,0.15,0.58,0.36,0.26,0.18,0.76,0.88,0.55,0.33,0.5
bnetd.csv,0.81,1.0,0.95,0.41,0.51,0.43,0.51,1.0,0.75,0.35,0.67,0.99,0.75,0.96,0.8,0.76
elvishrayrenderer.csv,0.6,0.48,0.05,0.86,0.75,0.7,0.12,0.04,0.21,0.58,0.36,0.5,0.88,0.32,0.6,0.76
emisview.csv,0.33,0.0,0.3,0.41,0.44,0.7,0.22,0.11,0.55,0.01,0.44,0.42,0.5,0.19,0.43,0.12
hazelcast.csv,0.81,0.64,0.6,0.73,0.95,0.96,0.63,0.6,0.85,0.43,0.46,0.7,0.88,0.34,0.8,0.5
jitterbit.csv,0.98,0.97,0.65,0.68,0.85,0.48,0.34,0.13,0.73,0.22,0.92,0.38,0.75,0.78,0.7,0.65
jppf-project.csv,0.67,0.46,0.9,0.32,0.8,0.43,0.8,0.89,0.64,0.43,0.56,0.76,0.5,0.54,0.63,0.47
l2j.csv,0.62,0.63,0.4,0.64,0.64,0.7,0.66,0.53,0.79,0.43,0.56,0.61,0.88,0.79,0.67,0.47
megasquirtavr.csv,0.88,1.0,0.5,0.36,0.95,0.57,0.61,0.76,0.5,0.17,0.62,0.55,0.5,0.81,0.33,0.09
stajistics.csv,0.79,0.39,0.0,0.91,0.75,1.0,0.05,0.51,0.33,0.94,0.74,0.96,0.88,0.82,0.6,0.62
trackit.csv,0.21,0.0,0.25,0.36,0.27,0.43,0.63,0.02,0.4,0.55,0.44,0.1,0.0,0.02,0.27,0.21
wxlua.csv,0.24,0.74,0.65,0.77,0.2,0.17,0.41,0.0,0.49,0.91,0.92,0.35,0.5,0.55,0.2,0.62
x4x.csv,0.74,0.74,0.7,0.86,0.65,0.65,0.66,0.87,0.66,0.4,0.74,0.65,0.38,0.92,0.63,0.79
xharbour.csv,0.86,0.76,0.95,0.82,0.71,0.74,0.93,0.58,0.72,0.69,0.77,0.38,0.88,0.78,0.87,0.68
