,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.61,0.77,0.38,0.6,0.84,0.23,0.55,0.56,0.43,0.3,0.68,0.8,0.17,0.69,0.47,0.61
betoffice.csv,0.64,0.76,0.26,0.5,0.8,0.4,0.7,0.59,0.2,0.91,0.58,0.88,0.18,0.65,0.41,0.72
bionote.csv,0.55,0.82,0.4,0.32,0.33,0.07,0.24,0.51,0.4,0.41,0.3,0.83,0.52,0.63,0.36,0.56
bnetd.csv,0.78,0.9,0.37,0.41,0.62,0.45,0.55,0.67,0.43,0.51,0.71,0.95,0.25,0.82,0.42,0.7
elvishrayrenderer.csv,0.68,0.62,0.1,0.58,0.83,0.64,0.2,0.08,0.27,0.71,0.52,0.64,0.36,0.47,0.54,0.81
emisview.csv,0.47,0.0,0.32,0.45,0.6,0.63,0.35,0.18,0.5,0.02,0.54,0.57,0.31,0.31,0.43,0.21
hazelcast.csv,0.79,0.75,0.5,0.48,0.97,0.48,0.63,0.56,0.42,0.59,0.53,0.8,0.28,0.48,0.53,0.59
jitterbit.csv,0.86,0.92,0.31,0.49,0.85,0.35,0.47,0.18,0.64,0.35,0.67,0.54,0.21,0.75,0.41,0.69
jppf-project.csv,0.68,0.58,0.36,0.29,0.81,0.27,0.73,0.65,0.34,0.58,0.51,0.85,0.19,0.62,0.44,0.5
l2j.csv,0.68,0.73,0.37,0.49,0.78,0.43,0.64,0.53,0.44,0.59,0.63,0.73,0.23,0.82,0.43,0.55
megasquirtavr.csv,0.83,0.9,0.5,0.35,0.89,0.31,0.62,0.62,0.37,0.29,0.62,0.69,0.15,0.75,0.25,0.16
stajistics.csv,0.8,0.5,0.0,0.45,0.83,0.47,0.09,0.54,0.26,0.93,0.59,0.94,0.23,0.78,0.51,0.64
trackit.csv,0.32,0.0,0.2,0.33,0.42,0.36,0.68,0.04,0.31,0.68,0.39,0.18,0.0,0.04,0.28,0.27
wxlua.csv,0.36,0.76,0.28,0.43,0.31,0.2,0.49,0.0,0.4,0.92,0.66,0.5,0.21,0.6,0.26,0.62
x4x.csv,0.82,0.78,0.39,0.54,0.73,0.52,0.63,0.66,0.39,0.56,0.66,0.75,0.15,0.82,0.43,0.73
xharbour.csv,0.81,0.86,0.41,0.55,0.8,0.44,0.83,0.52,0.43,0.79,0.61,0.53,0.34,0.77,0.5,0.7
