,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,282.5,98.5,95.5,423.5,99.0,252.5,97.5,751.0,99.0,96.5,98.5,98.5,588.5,395.5,196.0,97.5
betoffice.csv,87.5,97.5,391.5,285.5,99.0,196.0,97.5,616.5,679.5,96.5,98.5,99.0,1074.5,198.0,1411.0,97.5
bionote.csv,187.0,98.5,95.5,185.0,79.5,170.0,97.5,565.0,99.0,173.0,90.5,98.5,286.5,99.0,95.5,97.5
bnetd.csv,379.0,98.5,292.5,280.5,99.0,337.5,97.5,846.5,99.0,96.5,98.5,99.0,286.5,198.0,196.0,97.5
elvishrayrenderer.csv,91.5,91.5,95.5,379.0,97.5,97.5,97.5,186.0,567.0,96.5,98.5,94.5,852.0,197.5,196.0,97.5
emisview.csv,91.5,0.0,88.5,187.0,93.5,576.5,97.5,414.5,99.0,24.5,279.5,97.5,393.5,197.5,97.5,94.5
hazelcast.csv,284.5,98.5,95.5,379.0,97.5,196.0,97.5,376.0,99.0,96.5,186.0,98.5,1259.5,197.5,196.0,97.5
jitterbit.csv,379.0,98.5,89.5,185.0,295.5,196.0,94.5,371.0,99.0,192.0,281.5,98.5,282.5,198.0,196.0,94.5
jppf-project.csv,379.0,97.5,391.5,586.5,99.0,1748.5,95.5,1220.0,99.0,192.0,375.0,99.0,189.0,294.5,97.5,250.5
l2j.csv,379.0,98.5,89.5,379.0,97.5,97.5,97.5,283.5,99.0,94.5,186.0,98.5,380.0,198.0,194.0,97.5
megasquirtavr.csv,377.0,98.5,194.0,283.5,99.0,196.0,95.5,520.0,99.0,94.5,98.5,99.0,286.5,198.0,792.5,100.0
stajistics.csv,91.5,97.5,0.0,379.0,97.5,196.0,97.5,565.0,872.5,96.5,98.5,99.0,1177.0,99.0,196.0,91.5
trackit.csv,170.0,235.0,89.5,729.5,94.5,1304.0,95.5,113.0,99.0,192.0,186.0,99.0,278.0,158.5,86.5,168.0
wxlua.csv,377.0,98.5,291.5,185.0,99.0,335.0,95.5,179.0,99.0,194.0,98.5,97.5,186.0,198.0,175.0,97.5
x4x.csv,89.5,98.5,391.5,285.5,295.5,97.5,97.5,846.5,99.0,96.5,98.5,97.5,559.5,99.0,196.0,97.5
xharbour.csv,282.5,98.5,293.0,185.0,295.5,1613.0,97.5,371.0,99.0,194.0,279.5,90.5,186.0,99.0,196.0,97.5
