,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.31,0.27,0.4,0.22,0.46,0.39,0.52,0.33,0.0,0.3,0.53,0.73,0.42
bacula.csv,0.77,0.67,1.0,0.4,0.94,0.96,0.88,0.76,0.67,0.7,0.8,1.0,0.73
elmo.csv,0.55,0.32,0.8,0.3,0.5,0.74,0.56,0.26,0.31,0.42,0.51,0.36,0.33
jajuk.csv,0.88,0.93,0.4,0.76,0.8,0.87,0.72,0.52,0.84,0.72,0.64,0.52,0.64
ktc.csv,0.81,0.38,0.4,0.66,0.7,0.61,0.6,0.3,0.6,0.62,0.47,0.3,0.73
neoengine.csv,0.5,0.55,1.0,0.66,0.78,0.74,0.88,0.61,0.99,0.38,0.71,0.36,0.88
omseek.csv,0.15,0.27,0.0,0.11,0.28,0.04,0.16,0.0,0.32,0.17,0.11,0.0,0.52
pcgen.csv,0.92,0.97,0.4,0.95,0.58,1.0,0.96,0.35,1.0,0.96,0.71,1.0,0.91
rosegarden.csv,0.84,0.7,0.6,0.99,0.89,0.7,0.72,0.26,0.62,0.7,0.87,0.59,0.88
selenium.csv,0.83,0.68,0.2,0.75,0.64,0.7,0.64,0.37,0.65,0.72,0.45,0.57,0.55
vapor.csv,0.0,1.0,1.0,0.72,0.83,1.0,0.6,0.91,0.53,0.0,0.0,0.0,0.85
zorannt.csv,0.52,0.33,1.0,0.1,0.5,0.7,0.64,0.76,0.07,0.26,0.62,0.34,0.55
zscreen.csv,0.83,0.72,0.2,0.71,0.84,0.74,0.8,0.63,0.58,0.83,0.95,1.0,0.76
