,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.61,0.44,0.46,0.27,0.83,0.71,0.56,0.63,0.0,0.54,0.73,0.22,0.63
bacula.csv,0.6,0.52,0.7,0.17,0.77,0.51,0.77,0.44,0.51,0.47,0.63,0.95,0.46
elmo.csv,0.38,0.3,0.27,0.13,0.25,0.27,0.49,0.33,0.2,0.38,0.21,0.42,0.19
jajuk.csv,0.59,0.87,0.36,0.58,0.19,0.51,0.55,0.44,0.61,0.4,0.27,0.56,0.4
ktc.csv,0.22,0.19,0.37,0.26,0.26,0.29,0.38,0.04,0.45,0.18,0.17,0.43,0.37
neoengine.csv,0.24,0.35,0.99,0.26,0.37,0.29,0.9,0.33,1.0,0.18,0.4,0.74,0.71
omseek.csv,0.05,0.28,0.0,0.03,0.07,0.01,0.11,0.0,0.16,0.01,0.05,0.09,0.2
pcgen.csv,0.76,0.93,0.42,0.84,0.29,0.99,0.89,0.15,1.0,0.87,0.2,0.98,0.79
rosegarden.csv,0.42,0.44,0.61,0.92,0.51,0.46,0.69,0.07,0.45,0.22,0.69,0.63,0.69
selenium.csv,0.39,0.3,0.16,0.42,0.16,0.38,0.35,0.26,0.47,0.4,0.2,0.56,0.25
vapor.csv,0.0,0.87,0.9,0.31,0.83,1.0,0.34,0.81,0.31,0.0,0.0,0.0,0.68
zorannt.csv,0.46,0.31,0.61,0.02,0.21,0.25,0.54,0.59,0.06,0.18,0.27,0.5,0.43
zscreen.csv,0.5,0.72,0.12,0.46,0.74,0.54,0.59,0.3,0.31,0.59,0.67,0.98,0.53
