,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.28,0.32,0.11,0.27,0.38,0.14,0.33,0.38,0.0,0.23,0.41,0.62,0.13
bacula.csv,0.58,0.62,0.18,0.48,0.67,0.38,0.43,0.75,0.69,0.48,0.59,0.43,0.27
elmo.csv,0.52,0.4,0.3,0.4,0.57,0.44,0.38,0.36,0.44,0.35,0.56,0.29,0.23
jajuk.csv,0.64,0.69,0.13,0.56,0.8,0.35,0.44,0.59,0.78,0.53,0.62,0.34,0.26
ktc.csv,0.76,0.49,0.12,0.63,0.71,0.36,0.45,0.46,0.66,0.6,0.55,0.24,0.31
neoengine.csv,0.54,0.59,0.13,0.63,0.72,0.43,0.4,0.67,0.8,0.41,0.62,0.21,0.23
omseek.csv,0.24,0.35,0.0,0.19,0.41,0.08,0.22,0.0,0.46,0.29,0.18,0.0,0.33
pcgen.csv,0.6,0.69,0.11,0.57,0.61,0.25,0.43,0.48,0.8,0.46,0.71,0.42,0.22
rosegarden.csv,0.69,0.67,0.12,0.56,0.72,0.31,0.39,0.4,0.67,0.62,0.6,0.35,0.23
selenium.csv,0.69,0.7,0.12,0.61,0.7,0.36,0.48,0.49,0.69,0.53,0.52,0.36,0.31
vapor.csv,0.0,0.72,0.14,0.65,0.6,0.25,0.47,0.76,0.63,0.0,0.0,0.0,0.23
zorannt.csv,0.47,0.41,0.2,0.17,0.57,0.44,0.41,0.72,0.13,0.31,0.61,0.25,0.22
zscreen.csv,0.64,0.61,0.14,0.58,0.63,0.3,0.46,0.7,0.67,0.5,0.65,0.42,0.25
