,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,81.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
amygdala.csv,1.0,123.0,2.0,1.0,2.0,0.0,2.0,2.0,620.0,5.0,8.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0
awemud.csv,0.0,0.0,10.0,0.0,0.0,2.0,6.0,9.0,495.0,0.0,11.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
bullet.csv,1.0,1.0,2.0,0.0,0.0,0.0,8.0,4.0,1261.0,1.0,1.0,1.0,45.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
customwars.csv,0.0,3.0,10.0,18.0,1.0,3.0,0.0,6.0,2488.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,3.0
dvd-create.csv,3.0,0.0,0.0,9.0,0.0,0.0,6.0,2.0,981.0,52.0,11.0,8.0,13.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0
gbif-indexingtoolkit.csv,0.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,552.0,2.0,9.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0
go.csv,1.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,889.0,0.0,14.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0
growl-for-windows.csv,0.0,2.0,8.0,3.0,0.0,1.0,0.0,2.0,336.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0
gss.csv,2.0,4.0,0.0,1.0,0.0,2.0,11.0,4.0,1677.0,2.0,12.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0
kwave.csv,0.0,2.0,0.0,7.0,0.0,0.0,3.0,4.0,787.0,3.0,1.0,9.0,7.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0
libarchive.csv,0.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,557.0,10.0,10.0,1.0,13.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0
linux-ntfs.csv,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,40.0,5.0,5.0,0.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
lsb.csv,0.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,472.0,52.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpgravity.csv,1.0,2.0,10.0,2.0,0.0,0.0,9.0,1.0,1895.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
nativeclient.csv,0.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,720.0,0.0,8.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0
qcad2.csv,1.0,4.0,4.0,1.0,0.0,1.0,0.0,9.0,639.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
qtwin.csv,0.0,123.0,71.0,181.0,91.0,87.0,144.0,60.0,0.0,52.0,111.0,72.0,367.0,0.0,66.0,0.0,0.0,53.0,248.0,116.0
roller.csv,0.0,0.0,0.0,63.0,0.0,1.0,15.0,1.0,982.0,52.0,4.0,2.0,25.0,0.0,2.0,1.0,1.0,3.0,0.0,7.0
xinity.csv,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,545.0,52.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0
