,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.54,0.53,0.16,0.11,0.48,0.32,0.3,0.25,0.02,0.12,0.32,0.33,0.99,0.54,0.35,0.27,0.55,0.63,0.13,0.55
amygdala.csv,0.68,0.0,0.37,0.19,0.44,0.61,0.49,0.24,0.01,0.21,0.18,0.97,0.28,0.51,0.59,0.56,0.42,0.61,0.38,0.12
awemud.csv,1.0,0.73,0.19,0.3,0.77,0.42,0.55,0.22,0.01,0.24,0.26,0.62,0.68,0.68,0.62,0.48,0.68,0.4,0.6,0.56
bullet.csv,0.67,0.75,0.29,0.16,0.8,0.99,0.33,0.33,0.0,0.39,0.24,0.71,0.29,0.56,0.61,0.61,0.35,0.51,0.66,0.62
customwars.csv,0.16,0.63,0.22,0.34,0.28,0.5,0.28,0.29,0.0,0.29,0.94,0.24,0.51,0.24,0.58,0.43,0.56,0.69,0.26,0.57
dvd-create.csv,0.75,0.78,0.35,0.48,1.0,0.77,0.56,0.34,0.01,0.0,0.27,0.64,0.26,0.54,0.62,0.63,0.52,0.54,0.63,0.61
gbif-indexingtoolkit.csv,0.45,0.78,0.38,0.4,0.85,0.34,0.27,1.0,0.0,0.12,0.16,0.34,0.26,0.19,0.35,0.35,0.55,0.68,0.62,0.59
go.csv,0.68,0.99,0.35,0.36,0.74,0.75,0.57,0.3,0.01,0.25,0.26,0.7,0.24,0.72,0.7,0.46,0.53,0.49,0.64,0.64
growl-for-windows.csv,0.63,0.68,0.27,0.28,0.61,0.64,0.48,0.31,0.01,0.26,0.29,0.49,0.53,0.58,0.57,0.62,0.58,0.99,0.49,0.6
gss.csv,0.84,0.78,0.37,0.33,0.88,0.86,0.49,0.33,0.01,0.37,0.25,0.71,0.45,0.66,0.75,0.98,0.64,0.56,0.66,0.59
kwave.csv,0.31,0.64,1.0,0.35,0.48,0.27,0.15,0.29,0.0,0.11,0.3,0.21,0.57,0.25,0.28,0.55,0.47,0.3,0.46,0.5
libarchive.csv,0.69,0.65,0.31,0.37,0.54,0.57,0.56,0.25,0.01,0.26,0.3,0.57,0.58,0.72,0.52,0.53,0.6,0.75,0.46,1.0
linux-ntfs.csv,0.36,0.51,0.22,0.28,0.22,0.47,0.45,0.21,0.04,0.37,0.36,0.28,0.61,0.42,0.37,0.49,1.0,0.44,0.3,0.54
lsb.csv,0.53,0.55,0.18,0.99,0.45,0.76,0.4,0.32,0.01,0.0,0.3,0.48,0.58,0.67,0.7,0.77,0.39,0.55,0.44,0.58
mpgravity.csv,0.79,0.61,0.28,0.35,0.63,0.53,0.58,0.25,0.0,0.96,0.29,0.58,0.57,0.73,0.61,0.6,0.6,0.5,0.45,0.59
nativeclient.csv,0.75,0.6,0.28,0.49,0.58,0.71,0.53,0.31,0.01,0.54,0.29,0.63,0.52,0.66,0.66,0.6,0.56,0.58,0.99,0.64
qcad2.csv,0.57,0.77,0.23,0.35,0.88,0.5,0.99,0.26,0.01,0.28,0.2,0.46,0.42,0.64,0.58,0.73,0.66,0.66,0.63,0.59
qtwin.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.07,0.0,0.0,0.0
roller.csv,0.62,0.65,0.39,0.07,0.63,0.47,0.5,0.26,0.0,0.0,0.28,0.56,0.45,0.98,0.56,0.32,0.52,0.38,0.44,0.53
xinity.csv,0.55,0.58,0.27,0.08,0.63,0.48,0.5,0.22,0.01,0.0,0.26,0.39,0.23,0.63,1.0,0.37,0.48,0.14,0.5,0.33
