,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.3,0.41,0.0,0.17,0.16,0.28,0.4,0.12,0.57,0.26,0.72,0.36,0.13,0.19
dvt.csv,0.45,0.47,0.18,0.21,0.24,0.59,0.42,0.17,0.51,0.41,0.75,0.48,0.26,0.07
flylinkdc.csv,0.57,0.62,0.14,0.83,0.39,0.44,0.42,0.67,0.39,0.44,0.51,0.9,0.7,0.23
fulguro.csv,0.13,0.67,0.12,0.63,0.29,0.24,0.47,0.7,0.29,0.38,0.86,0.62,0.62,0.28
gnome-jabber.csv,0.42,0.61,0.15,0.75,0.37,0.53,0.44,0.64,0.33,0.48,0.75,0.58,0.7,0.2
ipfire-wall.csv,0.43,0.52,0.22,0.51,0.36,0.27,0.08,0.63,0.13,0.67,0.28,0.73,0.27,0.22
jruby.csv,0.42,0.58,0.16,0.9,0.29,0.3,0.07,0.61,0.07,0.08,0.97,0.76,0.74,0.0
ldview.csv,0.43,0.62,0.16,0.84,0.36,0.4,0.64,0.58,0.29,0.49,0.6,0.77,0.72,0.26
maidsafe-dht.csv,0.36,0.42,0.23,0.73,0.56,0.31,0.45,0.65,0.21,0.65,0.62,0.58,0.41,0.09
nuttx.csv,0.47,0.28,0.07,0.8,0.26,0.1,0.44,0.27,0.29,0.24,0.39,0.38,0.56,0.1
oorexx.csv,0.45,0.16,0.06,0.07,0.38,0.17,0.51,0.05,0.0,0.32,0.12,0.19,0.7,0.29
red5.csv,0.5,0.59,0.14,0.59,0.31,0.45,0.51,0.72,0.43,0.45,0.96,0.54,0.69,0.22
vdsf.csv,0.32,0.69,0.28,0.64,0.32,0.38,0.47,0.68,0.23,0.58,0.96,0.87,0.7,0.31
xbrlapi.csv,0.26,0.69,0.0,0.0,0.15,0.34,0.28,0.6,0.15,0.53,0.0,0.02,0.5,0.33
