,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.32,0.22,0.4,0.07,0.37,0.3,0.6,0.3,0.0,0.2,0.49,0.7,0.3
bacula.csv,0.73,0.68,0.8,0.54,0.93,0.87,0.68,0.7,0.66,0.74,0.56,0.98,0.55
elmo.csv,0.16,0.13,0.6,0.06,0.29,0.22,0.28,0.24,0.08,0.19,0.51,0.09,0.27
jajuk.csv,0.9,0.95,0.4,0.81,0.77,0.91,0.76,0.57,0.84,0.77,0.67,0.73,0.73
ktc.csv,0.74,0.48,0.4,0.72,0.7,0.61,0.6,0.17,0.7,0.64,0.53,0.34,0.58
neoengine.csv,0.53,0.42,1.0,0.67,0.73,0.74,0.92,0.8,0.98,0.44,0.8,0.8,0.85
omseek.csv,0.29,0.35,0.0,0.17,0.38,0.35,0.2,0.02,0.33,0.24,0.31,0.0,0.64
pcgen.csv,0.95,0.98,0.6,0.96,0.65,1.0,1.0,0.52,1.0,0.99,0.65,1.0,0.97
rosegarden.csv,0.82,0.68,0.6,0.96,0.82,0.65,0.68,0.17,0.58,0.71,0.85,0.68,0.76
selenium.csv,0.8,0.68,0.2,0.66,0.64,0.7,0.6,0.37,0.63,0.73,0.45,0.66,0.55
vapor.csv,0.0,0.8,1.0,0.46,0.35,1.0,0.56,0.54,0.98,0.08,0.0,0.05,0.67
zorannt.csv,0.41,0.58,0.6,0.23,0.56,0.65,0.48,0.5,0.8,0.18,0.56,0.23,0.52
zscreen.csv,0.76,0.77,0.2,0.73,0.94,0.65,0.68,0.72,0.21,0.73,0.82,1.0,0.64
