,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.24,0.3,0.26,0.58,1.0,0.27,0.74,0.34,0.41,0.57
autoopencas.csv,0.18,0.32,0.22,0.31,0.59,0.12,1.0,0.25,0.05,0.33
gogoego.csv,0.33,0.44,0.92,0.14,0.0,0.38,0.17,0.21,0.41,0.11
jam-daq.csv,0.49,0.47,0.4,0.46,0.14,0.3,0.33,0.15,0.98,0.47
jhotdraw.csv,0.4,0.2,0.23,0.21,0.18,0.95,0.19,0.02,0.16,0.21
pokeglobal.csv,0.98,0.56,0.56,0.41,0.66,0.62,0.4,0.62,0.63,0.43
robocode.csv,0.42,0.93,0.35,0.34,0.04,0.21,0.11,0.31,0.45,0.33
springside.csv,0.47,0.63,0.58,0.67,0.24,0.6,0.56,0.98,0.59,0.67
trinitycore.csv,0.41,0.57,0.46,0.87,0.31,0.58,0.21,0.46,0.48,0.91
uwom-server.csv,0.38,0.48,0.54,0.93,0.29,0.56,0.66,0.49,0.49,0.89
