,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.06,0.0,0.0,0.09,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.0,0.07,0.09,0.0,0.0,0.0
botsnscouts.csv,0.18,0.33,0.48,0.15,0.51,0.31,0.73,0.26,1.0,0.21,0.42,0.0,0.0,0.27,0.13,0.37,0.0,0.41,0.09
bscwweasel.csv,0.06,0.0,0.22,0.16,0.26,0.97,0.53,0.1,0.3,0.25,0.18,0.0,0.0,0.17,0.26,0.34,0.0,0.16,0.05
bzbyte.csv,0.65,0.58,0.62,0.7,0.69,0.25,0.49,0.28,0.64,0.36,0.8,0.31,0.1,0.07,0.99,0.32,0.55,0.62,0.81
capcode.csv,0.26,0.02,0.3,0.0,0.22,0.38,0.08,1.0,0.34,0.33,0.51,0.17,0.13,0.08,0.39,0.24,0.2,0.63,0.53
emite.csv,0.15,0.04,0.29,0.33,0.2,0.2,0.45,0.16,0.4,0.39,0.74,0.29,0.1,0.0,0.36,0.28,0.95,0.24,0.24
fbmanager.csv,0.49,0.08,0.45,0.94,0.68,0.15,0.45,0.33,0.49,0.49,0.58,0.0,0.06,0.0,0.61,0.43,0.24,0.75,0.56
lcfizvtop.csv,0.2,0.04,0.4,0.32,0.56,0.15,0.55,0.09,0.59,0.29,0.4,0.92,0.0,0.16,0.55,0.36,0.48,0.32,0.42
mediaportal.csv,0.0,0.64,0.47,0.0,0.77,0.18,0.24,0.16,0.52,0.35,0.7,0.17,0.0,0.02,0.63,0.84,0.53,0.63,0.75
nodal.csv,0.27,0.04,0.54,0.3,0.63,0.18,0.49,0.22,0.24,0.96,0.48,0.29,0.0,0.0,0.13,0.35,0.3,0.62,0.19
paintown.csv,1.0,0.54,0.6,0.57,0.68,0.21,0.59,0.31,0.44,0.36,0.69,0.3,0.17,0.09,0.69,0.36,0.57,0.68,0.67
powerfolder.csv,0.0,0.02,0.0,0.0,0.08,0.0,0.41,0.0,0.07,0.07,0.1,0.0,0.0,1.0,0.13,0.22,0.0,0.03,0.0
retromenu.csv,0.03,0.06,0.35,0.26,0.43,0.0,0.98,0.19,0.59,0.33,0.29,0.0,0.0,0.43,0.32,0.44,0.06,0.24,0.04
smbopensoft.csv,0.56,0.97,0.69,0.46,0.71,0.3,0.62,0.32,0.58,0.4,0.71,0.16,0.12,0.15,0.71,0.34,0.61,0.74,0.62
sqlpower-library.csv,0.3,0.53,0.7,0.38,0.98,0.32,0.62,0.33,0.69,0.4,0.55,0.32,0.1,0.27,0.7,0.34,0.47,0.82,0.64
st-filteredstatistics.csv,0.59,0.52,0.65,0.72,0.72,0.23,0.57,0.3,0.73,0.37,1.0,0.31,0.12,0.1,0.73,0.34,0.55,0.77,0.63
triplea.csv,0.57,0.55,1.0,0.53,0.74,0.27,0.49,0.19,0.49,0.45,0.75,0.26,0.1,0.15,0.59,0.4,0.25,0.7,0.7
uface.csv,0.52,0.65,0.65,0.63,0.68,0.32,0.49,0.21,0.63,0.31,0.87,0.31,0.09,0.06,0.72,0.25,0.62,0.9,1.0
