,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,1.0,1.0,0.97,1.0,1.0,0.95,1.0,1.0,0.93,1.0,1.0,1.0,0.0,1.0,0.96,0.95,1.0,1.0,1.0
botsnscouts.csv,0.9,0.8,0.69,0.91,0.65,0.8,0.26,0.66,0.0,0.87,0.73,1.0,1.0,0.6,0.93,0.56,1.0,0.74,0.95
bscwweasel.csv,0.97,1.0,0.88,0.91,0.85,0.05,0.62,0.92,0.82,0.83,0.9,1.0,1.0,0.8,0.85,0.66,1.0,0.91,0.97
bzbyte.csv,0.99,0.98,0.72,0.94,0.57,0.82,0.85,0.72,0.76,0.95,0.72,1.0,0.9,0.85,0.02,0.99,0.77,0.55,0.52
capcode.csv,0.85,0.99,0.85,1.0,0.89,0.49,0.95,0.0,0.78,0.74,0.66,0.84,0.54,0.7,0.79,0.75,0.9,1.13,0.63
emite.csv,0.91,0.98,0.83,0.79,0.89,0.74,0.61,0.85,0.73,0.65,0.47,0.74,0.67,1.0,0.78,0.74,0.1,0.86,0.88
fbmanager.csv,0.64,0.96,0.72,0.12,0.49,0.86,0.61,0.53,0.65,0.55,0.74,1.01,0.8,1.05,0.7,0.5,0.85,0.4,0.6
lcfizvtop.csv,0.88,0.98,0.74,0.8,0.61,0.86,0.49,0.93,0.56,0.76,0.75,0.04,1.01,0.62,0.64,0.62,0.67,0.81,0.73
mediaportal.csv,1.0,0.97,0.87,1.0,0.9,0.94,1.03,0.95,0.9,0.79,0.77,0.91,1.0,1.18,0.88,0.23,0.97,1.13,1.01
nodal.csv,0.83,0.98,0.61,0.81,0.59,0.74,0.59,0.73,0.86,0.05,0.75,0.74,1.0,1.02,0.94,0.66,0.8,0.55,0.9
paintown.csv,0.0,0.59,0.6,0.58,0.54,0.74,0.54,0.59,0.7,0.75,0.49,0.69,0.45,0.71,0.68,0.61,0.55,0.48,0.58
powerfolder.csv,1.0,0.99,1.0,1.0,0.96,1.0,0.72,1.0,0.96,0.96,0.95,1.0,1.0,0.0,0.93,0.84,1.0,0.98,1.0
retromenu.csv,0.99,0.97,0.78,0.85,0.72,1.0,0.05,0.78,0.56,0.75,0.83,1.0,1.0,0.4,0.81,0.51,0.97,0.86,0.98
smbopensoft.csv,0.58,0.05,0.71,0.72,0.49,0.56,0.51,0.57,0.67,0.65,0.7,0.86,0.68,0.47,0.49,0.78,0.52,0.41,0.54
sqlpower-library.csv,0.81,0.6,0.59,0.8,0.04,0.57,0.42,0.61,0.74,0.81,0.82,0.79,0.89,0.42,0.7,0.84,0.75,1.04,0.61
st-filteredstatistics.csv,0.73,0.63,0.74,0.74,0.54,0.64,0.71,0.72,0.39,0.73,0.0,0.83,0.57,0.58,0.73,0.76,0.61,0.38,0.58
triplea.csv,0.55,0.59,0.0,0.61,0.65,0.57,0.74,0.85,0.65,0.56,0.55,0.75,0.64,0.45,0.75,0.52,0.85,1.1,0.59
uface.csv,0.92,0.96,0.81,0.89,0.89,0.57,0.85,0.84,0.8,0.86,0.69,0.9,0.94,0.91,0.83,0.91,0.69,1.01,0.0
