,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,0.42,0.62,0.0,0.71,0.56,0.05,0.0,0.0,0.5,0.96,0.11,0.79,0.0,0.14,0.33,0.0
fontforge.csv,0.43,0.32,0.43,0.36,0.7,0.46,0.02,0.71,0.14,0.49,0.86,0.09,0.77,0.42,0.08,0.12,0.33
glas.csv,0.46,0.35,0.62,0.38,0.68,0.43,0.03,0.48,0.15,0.46,0.84,0.08,0.74,0.57,0.15,0.11,0.36
gmerlin.csv,0.0,0.31,0.53,0.35,0.0,0.46,0.02,0.0,0.14,0.0,0.81,0.1,0.71,0.43,0.08,0.0,0.5
hannosset.csv,0.48,0.25,0.67,0.2,0.72,0.38,0.0,0.45,0.13,0.44,0.88,0.1,0.7,0.4,0.25,0.08,0.3
hatari.csv,0.49,0.48,0.67,0.37,0.69,0.46,0.03,0.41,0.13,0.52,0.94,0.1,0.69,0.4,0.11,0.12,0.41
jaolt.csv,0.51,0.4,0.7,0.35,0.61,0.56,0.06,0.5,0.25,0.53,0.95,0.08,0.84,0.6,0.07,0.06,0.34
jcl.csv,0.55,0.44,0.5,0.36,0.8,0.51,0.02,0.47,0.11,0.44,0.89,0.15,0.74,0.43,0.19,0.21,0.42
ltp.csv,0.43,0.31,0.45,0.39,0.81,0.43,0.0,0.58,0.12,0.56,0.89,0.13,0.68,0.38,0.1,0.13,0.4
mia.csv,0.55,1.0,0.48,0.33,0.5,0.57,0.04,0.58,0.09,0.47,0.98,0.23,0.92,0.25,0.0,0.12,0.5
net-snmp.csv,0.62,0.42,0.58,0.32,0.67,0.39,0.05,0.44,0.15,0.42,0.8,0.14,0.81,0.42,0.05,0.08,0.43
opde.csv,0.45,0.36,0.45,0.58,0.69,0.46,0.05,0.49,0.15,0.0,0.91,0.09,0.72,0.65,0.07,0.11,0.31
oppna-program-hsatools.csv,0.51,0.48,0.51,0.36,0.75,0.55,0.02,0.45,0.14,0.49,0.98,0.09,0.82,0.56,0.21,0.13,0.35
powerfolder-.csv,0.5,0.64,0.68,0.32,0.61,0.42,0.05,0.48,0.18,0.46,0.85,0.09,0.81,0.53,0.21,0.14,0.39
qlc.csv,0.55,0.36,0.64,0.4,0.69,0.6,0.07,0.67,0.24,0.57,1.0,0.09,0.82,0.44,0.1,0.19,0.25
tcl.csv,0.38,0.24,0.42,0.33,0.71,0.41,0.0,0.0,0.14,0.66,0.83,0.06,0.7,0.39,0.05,0.0,0.25
