,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.15,0.52,0.9,0.14,0.47
k3b.csv,0.61,0.64,0.72,0.24,0.81
myfaces.csv,0.39,0.69,0.39,0.48,0.55
robocode.csv,0.73,0.63,0.61,0.32,0.7
zildo.csv,0.47,0.71,0.8,0.27,0.64
