,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.52,0.98,0.39,0.35,0.45
bdbbasic.csv,0.53,0.56,0.52,0.97,0.55
empyrean.csv,1.0,0.52,0.35,0.4,0.38
gnome-jabber.csv,0.77,0.57,0.35,0.44,0.98
nutz.csv,0.62,0.37,0.95,0.3,0.89
