,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.7,0.04,0.69,0.69,0.73
bdbbasic.csv,0.66,0.56,0.47,0.05,0.62
empyrean.csv,0.0,0.83,0.91,0.66,0.79
gnome-jabber.csv,0.8,0.82,0.97,0.92,0.6
nutz.csv,0.64,0.75,0.1,0.89,1.01
