,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.77,0.72,0.31,0.33,1.0
bdbbasic.csv,0.66,0.48,0.28,0.65,0.95
empyrean.csv,0.84,0.0,0.0,0.0,0.0
gnome-jabber.csv,0.64,0.49,0.36,0.32,0.98
nutz.csv,0.66,0.39,0.59,0.2,0.96
