,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.37,0.22,0.44,0.61,0.0
bdbbasic.csv,0.58,0.78,0.74,0.16,0.2
empyrean.csv,0.26,0.0,0.0,0.0,0.0
gnome-jabber.csv,0.42,0.57,0.35,0.69,0.2
nutz.csv,0.55,0.73,0.18,0.9,0.8
