,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.93,0.22,0.95,1.05,0.89,0.75,1.0,0.67,0.71,0.61,0.92,0.98,0.67,0.69,0.58,0.78,0.78,0.74,0.98,0.72
baadengine.csv,0.32,0.88,0.94,0.74,0.56,0.88,1.0,0.8,0.98,0.49,0.75,0.96,0.95,0.89,0.38,0.95,0.57,0.74,1.0,1.0
bibedt.csv,0.79,0.7,1.03,0.53,0.62,0.85,0.57,0.73,0.83,0.7,0.48,0.51,0.46,0.61,0.93,0.73,0.67,0.72,0.74,0.95
cascading.csv,0.59,0.81,1.04,0.44,0.5,0.64,0.46,0.66,0.65,0.57,0.65,0.92,0.53,0.55,0.59,0.79,0.5,0.7,0.67,0.96
dataobjectsdotnet.csv,0.81,0.94,1.08,0.34,0.64,0.85,0.4,0.6,0.77,0.98,0.63,0.65,0.67,0.92,0.73,0.76,0.6,0.51,0.63,1.0
gnome-jabber.csv,0.65,0.83,0.62,1.15,0.74,0.81,0.73,0.68,0.64,0.94,0.6,0.79,0.86,0.76,0.5,0.65,0.69,0.73,0.66,0.46
gogoego.csv,0.54,1.14,1.17,0.46,0.75,0.9,1.0,0.68,0.67,0.8,0.64,1.04,0.59,0.68,0.87,0.78,0.88,0.68,0.76,1.0
httpcontentparser.csv,0.8,0.96,0.84,1.06,0.63,0.97,0.93,0.65,0.83,0.8,0.34,0.85,0.63,0.57,0.79,0.7,0.71,0.73,0.73,0.98
impala.csv,0.9,0.74,0.69,0.55,0.89,0.89,0.77,0.77,0.77,0.93,0.93,1.09,0.76,0.71,0.83,0.44,0.81,0.79,0.68,0.84
jaxlib.csv,0.73,0.87,0.93,1.16,0.71,0.63,0.45,0.63,0.81,0.78,0.54,0.06,0.55,0.44,0.9,0.81,0.58,0.77,0.67,0.92
jgameai.csv,0.96,0.49,0.95,1.01,0.86,0.52,0.96,0.91,0.96,0.9,0.92,0.57,0.72,0.94,0.96,0.78,0.83,0.96,0.93,0.78
jhotdraw.csv,0.68,0.6,0.77,0.72,0.94,0.74,1.0,0.95,0.44,0.86,0.81,0.69,1.0,0.89,0.59,0.84,0.65,0.87,0.9,0.97
loki-lib.csv,0.59,0.77,0.8,0.74,0.42,0.58,0.96,0.67,0.78,0.62,0.55,0.82,0.73,0.81,0.89,0.61,0.69,0.75,0.41,1.0
patterntesting.csv,1.0,0.97,1.02,0.95,0.86,0.94,0.94,0.96,0.85,0.31,0.98,0.96,0.92,0.89,0.98,0.9,0.88,0.81,0.9,0.81
pokeglobal.csv,0.69,0.83,1.0,0.26,0.34,0.69,0.88,0.61,0.81,0.98,0.53,1.18,0.83,0.82,0.87,0.8,0.57,0.63,0.6,0.89
snakeyaml.csv,0.84,0.94,1.07,0.37,0.62,0.77,0.54,0.75,0.5,0.77,0.46,0.75,1.0,0.63,0.35,0.9,0.77,0.69,0.97,0.84
unflobtactical.csv,0.83,0.79,1.05,0.59,0.58,0.81,0.6,0.71,0.63,0.64,0.53,0.71,0.47,0.39,0.51,0.84,0.52,0.64,0.61,0.82
werx.csv,0.99,0.85,0.03,1.0,0.97,0.98,1.0,0.95,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.96,0.97,1.0,1.0,1.0
zealos.csv,0.55,0.75,1.0,1.09,0.64,0.62,0.42,0.84,0.86,0.65,0.68,0.75,0.7,0.58,0.84,0.85,0.86,0.74,0.67,0.75
