,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.83,0.98,0.75,0.45,0.73,0.62,0.58
gisgraphy.csv,0.57,0.37,0.77,0.81,0.83,0.44,0.73
haggle.csv,0.69,0.66,0.56,0.74,0.78,0.83,0.83
java-gnome.csv,0.48,0.97,0.59,0.41,0.39,0.88,0.54
magicwars.csv,0.29,0.71,0.48,0.39,0.35,0.41,0.3
orc.csv,0.94,0.99,0.0,0.91,0.95,0.48,0.37
servicestack.csv,0.96,0.98,0.41,0.75,0.55,0.71,0.86
