,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.19,0.21,0.54,0.75,0.96,0.24,0.41
gisgraphy.csv,0.19,0.77,0.5,0.35,0.22,0.94,1.0
haggle.csv,0.44,0.42,0.97,0.23,0.35,0.29,0.14
java-gnome.csv,0.81,0.16,0.31,1.0,0.74,0.24,0.41
magicwars.csv,0.81,0.88,1.0,1.0,0.96,1.0,0.86
orc.csv,1.0,0.18,0.0,0.09,0.26,0.76,0.86
servicestack.csv,0.31,0.22,0.41,0.02,0.52,0.82,0.14
