,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.79,0.65,0.89,0.71,0.27
lcfizvtop.csv,0.58,0.71,0.39,0.57,0.91
migen.csv,0.58,0.71,0.06,0.14,0.27
mvnforum.csv,0.0,0.32,0.67,0.62,0.09
plplot.csv,0.92,0.71,0.72,0.62,0.27
