,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv
lazarus-ccr.csv,0.78,0.54,0.55,0.4,0.12
lcfizvtop.csv,0.47,0.59,0.31,0.41,0.56
migen.csv,0.5,0.68,0.08,0.2,0.27
mvnforum.csv,0.0,0.41,0.55,0.32,0.1
plplot.csv,0.61,0.54,0.41,0.55,0.19
