,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.25,0.11,0.0,0.76,0.13,0.15,0.56,0.12,0.2,0.27
arsenal-1.csv,0.2,0.2,0.7,0.06,0.06,0.15,0.16,0.62,0.12,0.04
barracudamvc.csv,0.76,0.6,0.0,0.0,0.55,0.21,0.27,0.39,0.42,0.0
irplus.csv,0.6,0.56,0.13,0.72,0.4,0.66,0.74,0.38,0.55,0.54
lite.csv,0.37,0.3,0.58,0.27,0.36,0.4,0.69,0.49,0.42,0.38
mevenide.csv,0.53,0.44,0.34,0.06,0.14,0.05,0.16,0.71,0.06,0.34
ontopia.csv,0.11,0.59,0.23,0.54,0.75,0.23,0.52,0.09,0.75,0.56
openintents.csv,0.26,0.65,0.4,0.27,0.19,0.64,0.61,0.35,0.14,0.44
ta3d.csv,0.38,0.2,0.24,0.06,0.34,0.32,0.24,0.35,0.09,0.58
tweetsharp.csv,0.38,0.43,0.47,0.52,0.42,0.45,0.5,0.31,0.74,0.51
