,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.96,0.3,0.1,0.12
freelords.csv,0.62,0.88,0.97,0.82
jfreereport.csv,0.04,0.87,0.27,0.29
super-tux.csv,1.0,0.61,0.68,1.0
