,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.33,0.33,0.2,0.79,0.0,0.48,0.75,0.7,0.65,0.66,0.41
crisscross.csv,0.35,0.23,0.35,0.85,0.09,0.53,0.55,1.0,0.68,0.27,0.34
cubefs.csv,0.37,0.23,0.17,0.89,0.04,0.55,0.59,0.79,0.86,0.27,0.14
gisgraphy.csv,0.49,0.0,0.23,0.89,0.0,0.33,0.8,0.63,0.67,0.04,0.71
iaml.csv,0.35,0.12,0.2,0.85,0.26,0.56,0.76,0.7,0.7,0.47,0.36
ivataopenportal.csv,0.4,0.23,0.21,0.86,0.1,0.72,0.54,0.69,0.72,0.27,0.31
mb-unit.csv,0.36,0.0,0.17,0.91,0.09,0.51,0.57,0.89,0.78,0.27,0.26
mvdsv.csv,0.58,0.18,0.0,0.92,0.75,0.5,0.53,0.71,1.0,0.0,0.86
nova.csv,0.36,0.55,0.22,0.85,0.0,0.47,0.65,0.69,0.76,0.28,0.2
openwbem.csv,0.55,0.5,0.27,0.89,0.19,0.5,0.69,0.68,0.81,0.64,0.38
xcmetadataservicestoolkit.csv,0.35,0.21,0.16,0.88,0.12,0.5,0.55,0.9,0.89,0.27,0.2
