,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.51,0.5,0.59,0.28,0.0,0.11,0.36,0.45,0.31,0.91,0.45
crisscross.csv,0.09,0.0,0.68,0.38,0.0,0.58,0.53,0.1,0.0,0.0,0.36
cubefs.csv,0.28,0.0,0.0,0.6,0.25,0.61,0.59,0.7,0.64,0.0,0.25
gisgraphy.csv,0.27,0.0,0.17,0.16,0.0,0.01,0.04,0.45,0.18,0.04,0.78
iaml.csv,0.26,0.1,0.5,0.24,0.93,0.39,0.71,0.11,0.49,0.3,0.63
ivataopenportal.csv,0.61,0.0,0.58,0.52,0.36,0.72,0.39,0.0,0.4,0.05,0.3
mb-unit.csv,0.05,0.0,0.17,0.67,0.0,0.0,0.55,0.47,0.66,0.0,0.16
mvdsv.csv,0.04,0.27,0.0,0.07,0.99,0.01,0.07,0.07,0.22,0.0,0.32
nova.csv,0.54,0.84,0.63,0.53,0.0,0.45,0.6,0.48,0.58,0.4,0.35
openwbem.csv,0.59,0.18,0.33,0.53,0.68,0.5,0.28,0.49,0.54,0.51,0.56
xcmetadataservicestoolkit.csv,0.48,0.0,0.5,0.55,0.67,0.54,0.42,0.27,0.78,0.0,0.2
