,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,jcl.csv,quantlib.csv
chipster.csv,0.58,0.4,0.5,0.39,0.77,0.98,0.03,0.47,0.12,0.28
fontforge.csv,0.49,0.36,0.43,0.35,0.71,0.4,0.05,0.96,0.13,0.18
hatari.csv,0.6,0.42,0.91,0.39,0.76,0.51,0.06,0.44,0.12,0.18
jcl.csv,1.0,0.71,1.0,0.33,0.33,0.67,0.0,0.0,1.0,0.33
ltp.csv,0.54,0.24,0.52,0.38,0.99,0.45,0.03,0.46,0.07,0.28
net-snmp.csv,1.0,0.41,0.58,0.29,0.69,0.42,0.04,0.5,0.18,0.24
opde.csv,0.43,0.34,0.43,1.0,0.79,0.4,0.04,0.48,0.15,0.11
powerfolder-.csv,0.67,1.0,0.71,0.43,0.63,0.48,0.25,0.5,0.21,0.2
quantlib.csv,0.55,0.42,0.75,0.21,0.61,0.4,0.09,0.5,0.13,1.0
