,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.56,0.49,0.78,0.62,0.15,0.37,0.15,0.63,1.0,0.88,0.72,0.06,0.28,0.23,0.46,0.25,0.72,0.42
bscwweasel.csv,1.0,0.0,0.78,0.33,1.0,0.67,0.0,1.0,0.0,0.86,0.4,0.0,0.82,0.2,0.0,0.68,1.0,0.83
capcode.csv,0.36,0.0,0.29,0.33,0.16,0.33,1.0,0.85,0.69,0.92,0.59,0.12,0.46,0.12,0.33,0.24,0.5,0.38
dspace-gsoc.csv,0.53,0.63,0.63,0.65,0.12,0.36,0.16,0.66,0.6,0.87,1.0,0.02,0.2,0.16,0.31,0.27,0.71,0.45
emite.csv,0.46,0.57,0.5,0.62,0.16,0.32,0.09,0.61,0.77,0.87,0.7,0.07,0.32,0.16,0.97,0.29,0.76,0.33
fbmanager.csv,0.56,0.5,0.79,0.97,0.15,0.46,0.15,0.72,0.7,0.79,0.68,0.04,0.45,0.19,0.33,0.3,0.8,0.25
freenet.csv,0.55,0.7,0.62,0.58,0.07,0.33,0.13,0.97,0.72,0.8,0.66,0.03,0.33,0.15,0.29,0.32,0.6,0.34
geogebra.csv,0.3,0.6,0.86,0.43,0.12,0.28,0.11,0.64,0.92,0.83,0.86,0.04,0.59,0.21,0.31,0.99,0.64,0.38
megameknet.csv,0.45,0.35,0.58,0.51,0.13,0.4,0.14,0.66,0.72,0.82,0.63,0.06,1.0,0.18,0.34,0.27,0.74,0.39
ondex.csv,0.69,0.62,0.85,1.0,0.12,0.29,0.19,0.74,0.8,0.87,0.75,0.08,0.53,1.0,0.36,0.55,1.0,0.51
onotoa.csv,0.6,0.37,0.69,0.58,0.13,0.32,0.17,0.69,0.7,1.0,0.63,0.03,0.2,0.17,0.43,0.21,0.74,0.29
paintown.csv,1.0,0.53,0.83,0.69,0.15,0.45,0.16,0.75,0.71,0.78,0.7,0.07,0.3,0.21,0.67,0.29,0.77,0.4
powerfolder.csv,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.4,0.33,0.0,0.0,0.0,0.0
retromenu.csv,0.67,0.74,0.88,0.5,0.15,1.0,0.16,0.76,1.0,0.83,0.5,0.24,0.42,0.24,0.4,0.44,1.0,0.74
smbopensoft.csv,0.62,0.98,0.81,0.56,0.22,0.38,0.17,0.68,0.69,0.76,0.79,0.08,0.43,0.2,0.58,0.32,0.64,0.48
triplea.csv,0.54,0.52,1.0,0.6,0.12,0.37,0.12,0.7,0.82,0.8,0.68,0.06,0.4,0.16,0.4,0.3,0.68,0.32
tweetsharp.csv,0.44,0.31,0.54,0.64,0.16,0.28,0.12,0.56,0.74,0.76,0.48,0.02,0.19,0.1,0.45,0.16,1.0,0.31
xamj.csv,0.51,0.56,0.65,0.67,0.12,0.35,0.17,0.63,0.79,0.82,0.72,0.05,0.24,0.2,0.52,0.28,0.69,1.0
