,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.49,0.56,0.55,0.97,0.77
kmess.csv,0.45,0.36,0.29,0.39,0.98
minig.csv,0.24,0.56,0.99,0.37,0.73
rezilla.csv,0.91,0.51,0.56,0.54,0.59
webdriver.csv,0.17,0.98,0.44,0.39,0.63
