,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.34,0.38,0.42,0.59,0.42
kmess.csv,0.4,0.71,0.77,0.67,0.49
minig.csv,0.71,0.41,0.58,0.93,0.38
rezilla.csv,0.69,0.39,0.32,0.43,0.48
webdriver.csv,0.75,0.53,0.68,0.76,0.51
