,campsoft.csv,beast-mcmc.csv,array4j.csv,continuum-ide.csv,jam-daq.csv,anaxagora.csv,nodal.csv,projectfactory.csv,roolo.csv,l2j.csv
anaxagora.csv,0.47,0.63,0.51,0.62,0.55,0.65,0.39,0.21,0.33,0.48
array4j.csv,0.66,0.42,0.57,0.3,0.35,0.55,0.34,0.39,0.28,0.29
beast-mcmc.csv,0.73,0.7,0.49,0.46,0.7,0.68,0.35,0.42,0.56,0.5
continuum-ide.csv,0.0,0.18,0.23,0.74,0.26,0.17,0.26,0.18,0.34,0.1
jam-daq.csv,0.87,0.58,0.29,0.27,0.7,0.22,0.3,0.4,0.29,0.23
l2j.csv,0.64,0.6,0.43,0.62,0.32,0.54,0.49,0.53,0.4,0.74
nodal.csv,0.0,0.28,0.43,0.6,0.47,0.28,0.61,0.21,0.32,0.15
projectfactory.csv,0.0,0.52,0.53,0.69,0.37,0.27,0.3,0.63,0.48,0.6
roolo.csv,0.0,0.54,0.66,0.46,0.55,0.51,0.42,0.57,0.8,0.42
