,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.4,0.3,0.5,0.42,0.46,0.41,0.36,0.37,0.38,0.35,0.34,0.49,0.4,0.37,0.5,0.31,0.44,0.5
fbmanager.csv,0.8,0.86,0.45,0.91,0.9,0.67,0.53,0.83,0.51,0.96,0.74,0.96,0.43,0.0,0.45,0.75,0.0,0.42
fido.csv,0.5,0.67,0.0,0.73,0.0,0.5,0.0,0.0,0.79,0.0,0.94,0.0,0.0,0.92,0.0,0.82,0.94,0.0
fityk.csv,0.5,0.31,0.44,0.42,0.48,0.53,0.46,0.5,0.5,0.86,0.45,0.52,0.42,0.37,0.46,0.92,0.49,0.49
fleet-simulator.csv,0.43,0.3,0.36,0.33,0.44,0.39,0.32,0.41,0.35,0.7,0.33,0.49,0.37,0.31,0.4,0.29,0.41,0.41
google-caja.csv,0.4,0.27,0.35,0.34,0.41,0.38,0.28,0.33,0.32,0.4,0.31,0.4,0.32,0.3,0.37,0.28,0.4,0.41
hibernate.csv,0.53,0.44,0.58,0.48,0.46,0.49,0.39,0.88,0.37,0.56,0.53,0.57,0.4,0.48,0.48,0.8,0.59,0.48
itext.csv,0.38,0.27,0.37,0.33,0.43,0.4,0.29,0.34,0.34,0.54,0.32,0.44,0.34,0.3,0.44,0.34,0.42,0.4
k3b.csv,0.57,0.71,0.44,0.41,0.53,0.48,0.48,0.71,0.58,0.56,0.41,0.49,0.36,0.49,0.48,0.83,0.62,0.43
megameknet.csv,0.47,0.34,0.49,0.36,0.44,0.51,0.35,0.42,0.38,0.49,0.47,0.49,0.39,0.31,0.41,0.42,0.44,0.44
myfaces.csv,0.43,0.56,0.71,0.83,0.6,0.5,0.59,0.8,0.32,0.33,0.55,0.65,0.46,0.48,0.73,0.32,0.48,0.58
ninject.csv,0.59,0.38,0.78,0.51,0.57,0.93,0.38,0.41,0.38,0.29,0.78,0.65,0.59,0.68,0.73,0.71,0.65,0.67
ondex.csv,0.67,0.88,0.86,0.86,0.52,0.5,0.6,0.83,0.38,0.83,0.53,0.88,0.57,0.69,0.51,0.77,0.69,0.79
paintown.csv,0.43,0.42,0.4,0.37,0.43,0.44,0.36,0.57,0.38,0.57,0.36,0.47,0.32,0.33,0.53,0.36,0.48,0.38
poormans.csv,0.92,0.41,0.75,0.61,0.48,0.8,0.47,0.6,0.93,0.82,0.9,0.78,0.88,0.36,0.42,0.8,0.89,0.75
powerfolder.csv,0.52,0.89,0.41,0.91,0.65,0.42,0.77,0.75,0.94,0.83,0.57,0.58,0.5,0.96,0.68,0.55,0.61,0.62
smartgwt.csv,0.52,0.58,0.43,0.45,0.69,0.46,0.36,0.86,0.81,0.38,0.32,0.65,0.37,0.61,0.62,0.92,0.71,0.38
triplea.csv,0.45,0.44,0.43,0.35,0.43,0.42,0.38,0.5,0.37,0.46,0.33,0.53,0.4,0.43,0.45,0.32,0.5,0.5
