,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.47,0.72,0.63,0.84,0.54,0.59,0.4,0.52,1.12,0.49,0.94,0.51,0.48,0.7,0.59,0.12,0.97,0.8
fbmanager.csv,0.75,0.81,0.38,0.86,0.92,0.75,0.72,0.82,0.39,0.79,0.78,0.71,0.56,1.0,0.43,0.78,1.0,0.69
fido.csv,1.0,0.91,1.0,0.74,1.0,0.98,1.0,1.0,1.03,0.99,0.13,1.0,1.0,0.94,1.0,0.8,0.84,1.0
fityk.csv,0.63,0.87,0.53,0.66,0.64,0.58,0.73,0.53,0.76,1.01,0.75,0.65,0.51,0.67,0.86,0.76,0.59,0.63
fleet-simulator.csv,0.76,0.91,0.73,0.75,0.77,0.96,0.7,0.83,0.9,0.58,0.91,0.77,0.79,0.99,0.75,0.04,0.77,0.79
google-caja.csv,0.4,0.88,0.48,0.25,0.88,0.57,0.75,0.39,0.9,0.57,0.96,0.46,0.66,0.93,0.45,0.2,0.76,0.65
hibernate.csv,0.56,0.66,0.54,0.48,0.92,0.62,0.55,0.79,0.8,0.93,0.53,0.46,0.58,0.62,0.49,0.91,0.54,0.85
itext.csv,0.42,0.95,0.47,1.0,0.9,0.59,0.79,0.31,0.92,0.95,0.84,0.61,0.61,0.88,0.45,0.42,0.72,0.78
k3b.csv,0.56,0.72,0.88,0.7,0.93,0.4,0.99,0.67,0.51,0.99,0.79,1.01,0.65,0.68,0.96,1.23,0.71,1.01
megameknet.csv,0.72,0.68,0.5,0.93,0.64,0.57,0.74,0.65,0.92,0.4,0.93,0.39,0.76,0.85,0.53,0.9,0.6,0.82
myfaces.csv,0.48,0.65,0.68,0.77,0.4,0.64,0.72,0.74,0.73,0.41,0.61,0.5,0.58,0.62,0.6,0.3,0.54,0.58
ninject.csv,0.71,0.63,0.6,0.92,0.73,0.9,0.68,0.44,0.74,0.41,0.78,0.59,0.69,0.89,0.65,1.11,0.72,0.13
ondex.csv,0.68,0.82,0.86,0.91,0.58,0.67,0.77,0.85,0.96,0.96,0.69,0.64,0.63,0.55,0.45,0.76,0.69,0.83
paintown.csv,0.38,0.74,0.69,1.01,0.97,0.6,0.62,0.58,0.96,0.97,0.88,0.95,0.63,0.96,0.88,1.0,0.89,1.0
poormans.csv,0.88,0.58,0.88,0.69,0.39,0.93,0.81,0.65,0.22,0.64,1.0,0.6,0.84,0.75,0.31,0.91,0.74,0.4
powerfolder.csv,0.58,0.79,0.57,0.86,0.58,0.54,0.7,0.94,0.09,0.71,0.65,0.75,0.69,0.77,0.66,0.62,0.64,0.9
smartgwt.csv,0.66,0.64,0.67,0.77,0.61,0.67,0.95,1.06,0.17,0.35,0.79,0.85,0.54,0.69,0.7,1.36,0.67,1.0
triplea.csv,0.48,0.39,0.57,0.7,0.96,0.58,0.83,0.47,0.85,0.56,0.89,0.54,0.55,0.58,0.83,0.13,0.63,0.65
