,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.75,0.12,0.56,0.0,0.81,0.14,0.2,0.53,0.51,0.38
fulguro.csv,0.0,0.06,0.08,0.35,0.03,0.03,0.02,0.04,0.02,0.0
fw4spl.csv,0.22,0.54,0.08,0.51,0.0,0.68,0.0,0.14,0.3,0.39
google-web-toolkit.csv,0.38,0.35,0.33,0.28,0.39,0.16,0.35,0.01,0.28,0.51
jstock.csv,0.05,0.77,0.44,0.14,0.19,0.05,0.11,0.13,0.0,0.16
ldview.csv,0.15,0.7,0.38,0.5,0.16,0.0,0.15,0.18,0.12,0.23
nuttx.csv,0.75,0.92,0.03,0.5,0.84,0.38,0.85,0.6,0.53,0.57
utgb.csv,0.28,0.89,0.46,0.27,0.0,0.35,0.45,0.41,0.33,0.15
vdsf.csv,1.0,0.0,1.0,0.88,0.97,1.0,0.86,0.93,0.95,1.0
xbrlapi.csv,0.0,0.67,0.64,0.27,0.42,0.62,0.48,0.3,0.53,0.32
