,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.95,1.0,0.94,0.89,0.68,0.94,1.0,0.95,1.05,0.75,0.77,0.88,0.71
ctrlr.csv,0.98,1.0,1.0,0.9,0.97,1.0,0.63,0.91,0.61,0.99,0.94,0.72,0.91
dvt.csv,0.63,0.96,0.77,0.54,0.94,1.0,0.53,1.0,0.23,0.64,0.61,0.85,0.89
flylinkdc.csv,0.58,0.71,0.93,0.8,0.75,0.71,0.75,0.48,1.12,0.6,0.67,0.78,0.58
free-evolution.csv,0.79,0.58,0.77,0.82,0.95,0.76,0.91,1.0,0.5,1.0,0.82,0.58,1.0
fulguro.csv,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.57,1.0,0.83,0.78,1.0,1.0
fw4spl.csv,0.95,0.99,0.99,1.0,1.0,0.92,0.97,0.73,0.99,0.76,0.97,0.97,1.0
ipfire-wall.csv,0.65,0.65,0.88,0.86,1.0,0.84,0.98,0.25,1.0,0.96,0.91,0.78,0.78
ldview.csv,0.99,0.79,0.82,1.01,0.49,0.8,0.95,0.88,1.05,0.67,0.66,0.69,0.7
nuttx.csv,0.85,0.99,0.92,0.94,0.92,0.93,0.79,0.95,1.0,0.97,0.96,1.0,1.0
uclmda.csv,0.78,0.88,0.73,0.87,0.96,0.72,0.74,0.88,0.01,0.78,0.72,0.57,0.84
vdsf.csv,0.81,1.0,0.99,0.91,0.76,1.0,0.85,0.68,1.0,1.0,0.91,1.0,0.82
xcf.csv,0.7,0.49,0.68,0.6,0.64,0.66,0.53,0.76,1.26,0.81,0.78,0.34,0.75
