,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.33,0.25,0.06,0.1,0.14,0.36,0.42,0.31,0.25,0.25,0.13,0.23,0.2
ctrlr.csv,0.35,0.26,0.53,0.51,0.43,0.39,0.35,0.31,0.23,0.29,0.45,0.29,0.4
dvt.csv,0.27,0.26,0.52,0.2,0.43,0.39,0.35,0.27,0.24,0.28,0.21,0.27,0.32
flylinkdc.csv,0.13,0.26,0.41,0.45,0.12,0.16,0.35,0.16,0.25,0.13,0.14,0.37,0.22
free-evolution.csv,0.29,0.18,0.46,0.12,0.33,0.3,0.41,0.36,0.25,0.4,0.42,0.21,0.41
fulguro.csv,0.36,0.26,0.23,0.51,0.47,0.39,0.45,0.2,0.26,0.38,0.41,0.39,0.41
fw4spl.csv,0.35,0.26,0.5,0.49,0.47,0.36,0.1,0.15,0.26,0.24,0.3,0.35,0.39
ipfire-wall.csv,0.15,0.15,0.17,0.1,0.45,0.24,0.17,0.2,0.26,0.34,0.3,0.13,0.17
ldview.csv,0.36,0.26,0.34,0.5,0.17,0.36,0.44,0.33,0.25,0.21,0.36,0.37,0.34
nuttx.csv,0.35,0.26,0.53,0.51,0.47,0.39,0.44,0.35,0.26,0.4,0.45,0.39,0.41
uclmda.csv,0.26,0.16,0.3,0.36,0.43,0.24,0.21,0.29,0.25,0.31,0.24,0.23,0.23
vdsf.csv,0.31,0.26,0.53,0.34,0.19,0.39,0.15,0.13,0.26,0.38,0.35,0.39,0.18
xcf.csv,0.27,0.17,0.35,0.16,0.38,0.19,0.33,0.31,0.25,0.31,0.19,0.27,0.3
