,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.29,0.0,0.8,0.28,0.58,0.17,0.0,0.25,0.33,0.5,0.36,0.8,0.14
ctrlr.csv,0.08,0.0,0.0,0.67,0.14,0.0,0.5,0.22,0.98,0.03,0.29,0.62,0.17
dvt.csv,0.31,0.07,0.96,0.61,0.28,0.0,0.37,0.11,0.99,0.17,0.3,0.71,0.09
flylinkdc.csv,0.62,0.09,0.76,0.28,0.43,0.17,0.24,0.59,0.0,0.32,0.35,0.47,0.16
free-evolution.csv,0.3,0.12,0.84,0.35,0.15,0.21,0.4,0.0,0.98,0.0,0.55,0.63,0.0
fulguro.csv,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.62,0.0,0.14,0.22,0.52,0.0
fw4spl.csv,0.67,0.5,1.0,0.0,0.0,0.36,0.09,0.5,1.0,0.32,0.1,0.5,0.0
ipfire-wall.csv,0.59,0.14,0.72,0.38,0.0,0.18,0.07,0.68,0.0,0.14,0.38,0.78,0.12
ldview.csv,0.26,0.08,0.77,0.25,0.69,0.15,0.33,0.32,0.95,0.21,0.26,0.57,0.15
nuttx.csv,0.28,0.08,0.83,0.29,0.38,0.14,0.29,0.29,0.96,0.15,0.23,0.5,0.11
uclmda.csv,0.23,0.08,0.85,0.29,0.26,0.13,0.33,0.21,1.0,0.12,0.26,0.67,0.12
vdsf.csv,0.88,0.0,1.0,0.36,1.0,0.0,0.21,0.6,0.0,0.0,0.5,0.0,0.2
xcf.csv,0.32,0.16,0.84,0.38,0.42,0.19,0.37,0.39,0.87,0.11,0.24,0.75,0.14
