,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.41,0.64,0.24,0.6,0.47,0.52,0.69,0.33,0.23,0.45
flexpay.csv,0.22,0.42,0.34,0.15,0.17,0.6,0.53,0.5,0.16,0.51
jstock.csv,0.13,0.57,0.23,0.31,0.27,0.15,0.48,0.73,0.1,0.43
keyczar.csv,0.13,0.31,0.08,0.19,0.07,0.08,0.22,0.16,0.29,0.86
modellus.csv,0.19,0.65,0.31,0.47,0.61,0.78,0.77,0.38,0.31,0.3
open-data-kit.csv,0.29,0.67,0.29,0.51,0.41,0.71,0.81,0.55,0.26,0.44
phet.csv,0.48,0.47,0.13,0.26,0.25,0.19,0.48,0.32,0.2,0.87
qtractor.csv,0.18,0.79,0.3,0.5,0.57,0.73,0.71,0.43,0.29,0.08
sumatrapdf.csv,0.39,0.75,0.3,0.51,0.74,0.68,0.79,0.46,0.27,0.79
synergyspace.csv,0.28,0.41,0.28,0.16,0.58,0.6,0.49,0.31,0.51,0.42
