,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.53,0.17,0.74,0.28,0.2,0.6,0.73,0.65,0.59,0.27
flexpay.csv,0.55,0.58,0.27,0.35,0.04,0.17,0.3,0.47,0.31,0.53
jstock.csv,0.21,0.29,0.27,0.14,0.02,0.03,0.09,0.19,0.11,0.2
keyczar.csv,0.07,0.42,0.09,0.19,0.47,0.16,0.16,0.23,0.21,0.27
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34,0.09,0.28,0.27
open-data-kit.csv,0.54,0.67,0.8,0.86,0.29,0.64,0.27,0.44,0.75,0.07
phet.csv,0.26,0.71,0.25,0.6,0.84,0.53,0.84,0.81,0.57,0.93
qtractor.csv,0.5,0.25,0.43,0.28,0.22,0.37,0.23,0.21,0.32,0.0
sumatrapdf.csv,0.92,0.62,0.96,0.81,0.18,0.81,0.91,0.7,0.82,0.6
synergyspace.csv,0.47,0.29,0.6,0.05,0.47,0.24,0.36,0.47,0.3,0.33
