,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.61,0.49,0.83,0.43,0.61,0.75,0.77,0.76,0.83,0.74
flexpay.csv,0.85,0.84,0.59,0.93,0.9,0.53,0.65,0.49,0.87,0.81
jstock.csv,0.91,0.58,0.76,0.77,0.84,0.92,0.68,0.2,0.93,0.74
keyczar.csv,0.92,0.86,0.95,0.88,1.05,0.97,0.88,0.88,0.72,0.33
modellus.csv,0.89,0.48,0.62,0.63,0.52,0.31,0.42,0.7,0.68,0.86
open-data-kit.csv,0.76,0.7,0.82,0.86,0.68,0.65,0.34,0.45,0.86,0.71
phet.csv,0.49,0.87,0.88,0.9,1.06,0.99,0.99,0.87,0.87,0.93
qtractor.csv,0.89,0.33,0.63,0.55,0.5,0.43,0.44,0.58,0.69,0.96
sumatrapdf.csv,0.92,0.63,0.96,0.82,0.29,0.82,0.91,0.7,0.89,0.64
synergyspace.csv,0.76,0.74,0.71,0.91,0.54,0.53,0.71,0.71,0.4,0.78
